joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque 1[Nm], DOB Torque 2[Nm], current_time
1.21761,1.21661,-0.00144943,-1.84021e-05,-1.62083,-3.13677,23.0563,0.588
1.21761,1.21661,-0.00146867,-1.02234e-05,-1.69246,-3.25502,23.0563,0.592
1.2176,1.21661,-0.00148802,-5.67965e-06,-1.75624,-3.37654,23.0563,0.596
1.21759,1.21661,-0.0015075,-3.15536e-06,-1.81584,-3.49656,23.0563,0.6
1.21759,1.21661,-0.0015271,-1.75298e-06,-1.8733,-3.61407,23.0563,0.604
1.21758,1.21661,-0.00154681,-9.73878e-07,-1.92974,-3.72941,23.0563,0.608
1.21758,1.21661,-0.00156665,-5.41043e-07,-1.98579,-3.84327,23.0563,0.612
1.21757,1.21661,-0.0015866,-7.70764e-05,-1.86662,-3.78109,23.0563,0.616
1.21756,1.21661,-0.00160667,3.39556e-05,-2.17533,-4.06858,23.0563,0.62
1.21756,1.21661,-0.00162686,1.88642e-05,-2.19738,-4.21599,23.0563,0.624
1.21755,1.21661,-0.00164717,-2.79078e-05,-2.14744,-4.24549,23.0563,0.628
1.21754,1.21661,-0.00166759,-1.55043e-05,-2.23263,-4.35263,23.0563,0.632
1.21754,1.21661,-0.00168813,-8.61351e-06,-2.30571,-4.47578,23.0563,0.636
1.21753,1.21661,-0.0017088,-4.78528e-06,-2.37226,-4.60261,23.0563,0.64
1.21752,1.21661,-0.00172957,-2.65849e-06,-2.43534,-4.72877,23.0563,0.644
1.21752,1.21661,-0.00175047,-1.47694e-06,-2.49669,-4.85319,23.0563,0.648
1.21751,1.21661,-0.00177148,-8.20522e-07,-2.55724,-4.97605,23.0563,0.652
1.2175,1.21661,-0.00179262,-4.55846e-07,-2.61754,-5.09787,23.0563,0.656
1.21749,1.21661,-0.00181386,-2.53248e-07,-2.67787,-5.21918,23.0563,0.66
1.21749,1.21661,-0.00183523,-1.40693e-07,-2.7384,-5.34041,23.0562,0.664
1.21748,1.21661,-0.00185671,-7.81628e-08,-2.79922,-5.46185,23.0563,0.668
1.21747,1.21661,-0.00187831,-4.34238e-08,-2.86038,-5.58372,23.0563,0.672
1.21747,1.21661,-0.00190002,-3.8412e-05,-2.83432,-5.61855,23.0563,0.676
1.21746,1.21661,-0.00192185,-2.134e-05,-2.93492,-5.74142,23.0563,0.68
1.21745,1.21661,-0.0019438,-1.18556e-05,-3.01872,-5.88229,23.0563,0.684
1.21744,1.21661,-0.00196586,-6.58642e-06,-3.09336,-6.02589,23.0563,0.688
1.21743,1.21661,-0.00198804,-3.65912e-06,-3.16311,-6.16712,23.0563,0.692
1.21743,1.21661,-0.00201034,-2.03285e-06,-3.23031,-6.30503,23.0563,0.696
1.21742,1.21661,-0.00203275,-1.12936e-06,-3.29628,-6.44015,23.0563,0.7
1.21741,1.21661,-0.00205527,-6.27422e-07,-3.36175,-6.57336,23.0563,0.704
1.2174,1.21661,-0.00207791,-3.87365e-05,-3.33952,-6.61784,23.0563,0.708
1.21739,1.21661,-0.00210067,-2.15203e-05,-3.4437,-6.74923,23.0563,0.712
1.21738,1.21661,-0.00212354,-1.19557e-05,-3.53094,-6.89788,23.0563,0.716
1.21738,1.21661,-0.00214653,-6.64206e-06,-3.60895,-7.04878,23.0563,0.72
1.21737,1.21661,-0.00216963,-3.69003e-06,-3.68201,-7.197,23.0563,0.724
1.21736,1.21661,-0.00219284,-4.04379e-05,-3.66492,-7.25412,23.0563,0.728
1.21735,1.21661,-0.00221617,-2.24655e-05,-3.77285,-7.39572,23.0563,0.732
1.21734,1.21661,-0.00223961,-1.24808e-05,-3.86309,-7.55262,23.0563,0.736
1.21733,1.21661,-0.00226317,-6.9338e-06,-3.94368,-7.71035,23.0563,0.74
1.21732,1.21661,-0.00228684,-3.85211e-06,-4.01909,-7.86443,23.0563,0.744
1.21731,1.21661,-0.00231063,-7.89159e-05,-3.91663,-7.83916,23.0563,0.748
1.2173,1.21661,-0.00233453,3.29337e-05,-4.24057,-8.16053,23.0563,0.752
1.21729,1.21661,-0.00235854,1.82965e-05,-4.27705,-8.3395,23.0563,0.756
1.21729,1.21661,-0.00238267,-2.82232e-05,-4.2411,-8.3989,23.0563,0.76
1.21728,1.21661,-0.00240691,-1.56796e-05,-4.34002,-8.53485,23.0563,0.764
1.21727,1.21661,-0.00243126,-8.71086e-06,-4.42672,-8.68608,23.0563,0.768
1.21726,1.21661,-0.00245573,-4.83937e-06,-4.50681,-8.84056,23.0563,0.772
1.21725,1.21661,-0.00248031,-2.68854e-06,-4.58342,-8.99409,23.0563,0.776
1.21724,1.21661,-0.002505,-1.49363e-06,-4.65827,-9.14572,23.0563,0.78
1.21723,1.21661,-0.0025298,-3.92177e-05,-4.64475,-9.2081,23.0563,0.784
